Event	ID	Name			Wwise Object Path	Notes
	2877874455	RevMovement			\Default Work Unit\Movement\RevMovement	
	3542290436	PlayerFootstep			\Default Work Unit\Movement\PlayerFootstep	
	4268612329	SphereMovement			\Default Work Unit\Movement\SphereMovement	

Switch Group	ID	Name			Wwise Object Path	Notes
	1158357337	FootfallMaterial			\Default Work Unit\FootfallMaterial	

Switch	ID	Name	Switch Group			Notes
	2195636714	Dirt	FootfallMaterial			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1556791747	CharacterSpeed			\Default Work Unit\CharacterMovement\CharacterSpeed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	374546320	HumanFootstep4	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep4_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep4		132364
	403786741	SinSciFiMovement7	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement7_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement7		176464
	455088151	HumanFootstep2	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep2		132364
	522313464	HumanFootstep8	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep8_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep8		352864
	542643225	SinSciFiMovement6	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement6_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement6		176464
	543960253	RevAlienMovement2	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement2		176464
	566299293	RevAlienMovement5	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement5_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement5		176464
	605791537	RevAlienMovement9	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement9_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement9		176464
	659393642	SinSciFiMovement8	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement8_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement8		176464
	674523326	SinSciFiMovement3	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement3		176464
	693088414	HumanFootstep7	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep7_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep7		352864
	722854420	HumanFootstep5	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep5_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep5		242616
	804629408	HumanFootstep9	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\HumanFootstep9_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\HumanStateFootsteps\FootstepsDirt\HumanFootstep9		176464
	814954570	RevAlienMovement1	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement1		176464
	877343312	SinSciFiMovement10	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement10_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement10		176464
	878683434	RevAlienMovement6	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement6_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement6		176464
	954639852	RevAlienMovement7	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement7_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement7		176464
	961348584	SinSciFiMovement1	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement1		176464
	988107733	SinSciFiMovement2	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\SinSciFiMovement2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemySphereMovement\SinSciFiMovement2		176464
	1009969191	RevAlienMovement3	D:\Documents\Dev\UnityShowcase\MobileControl\WWiseProject\.cache\Windows\SFX\RevAlienMovement3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\CharacterMovement\EnemyRevMovement\RevAlienMovement3		176464

